city_name,city_id,latitude,longitude,day_month,weather_desc,prob_precipitation,daily_temperature,average_temperature_x,average_temperature_y
Bormes les Mimosas,18,43.1506968,6.3419285,04/10,moderate rain,1.0,18.73,21.91,22.291428571428572
Cassis,19,43.2140359,5.5396318,28/09,scattered clouds,0.0,23.75,21.114285714285717,21.43285714285714
Cassis,19,43.2140359,5.5396318,29/09,scattered clouds,0.0,22.94,21.114285714285717,21.43285714285714
Cassis,19,43.2140359,5.5396318,30/09,clear sky,0.0,22.98,21.114285714285717,21.43285714285714
Cassis,19,43.2140359,5.5396318,01/10,clear sky,0.01,21.03,21.114285714285717,21.43285714285714
Cassis,19,43.2140359,5.5396318,02/10,overcast clouds,0.0,21.09,21.114285714285717,21.43285714285714
Cassis,19,43.2140359,5.5396318,03/10,moderate rain,1.0,19.8,21.114285714285717,21.43285714285714
Cassis,19,43.2140359,5.5396318,04/10,moderate rain,1.0,18.44,21.114285714285717,21.43285714285714
Marseille,20,43.2961743,5.3699525,28/09,broken clouds,0.0,23.68,21.025714285714283,21.324285714285715
Marseille,20,43.2961743,5.3699525,29/09,scattered clouds,0.0,22.77,21.025714285714283,21.324285714285715
Marseille,20,43.2961743,5.3699525,30/09,clear sky,0.0,22.33,21.025714285714283,21.324285714285715
Marseille,20,43.2961743,5.3699525,01/10,clear sky,0.0,20.93,21.025714285714283,21.324285714285715
Marseille,20,43.2961743,5.3699525,02/10,overcast clouds,0.05,21.12,21.025714285714283,21.324285714285715
Marseille,20,43.2961743,5.3699525,03/10,moderate rain,1.0,19.85,21.025714285714283,21.324285714285715
Marseille,20,43.2961743,5.3699525,04/10,moderate rain,0.98,18.59,21.025714285714283,21.324285714285715
Aix en Provence,21,43.5298424,5.4474738,28/09,broken clouds,0.0,24.67,21.330000000000002,21.87285714285714
Aix en Provence,21,43.5298424,5.4474738,29/09,scattered clouds,0.0,22.52,21.330000000000002,21.87285714285714
Aix en Provence,21,43.5298424,5.4474738,30/09,clear sky,0.0,23.37,21.330000000000002,21.87285714285714
Aix en Provence,21,43.5298424,5.4474738,01/10,clear sky,0.0,22.95,21.330000000000002,21.87285714285714
Aix en Provence,21,43.5298424,5.4474738,02/10,light rain,0.38,21.55,21.330000000000002,21.87285714285714
Aix en Provence,21,43.5298424,5.4474738,03/10,moderate rain,1.0,20.6,21.330000000000002,21.87285714285714
Aix en Provence,21,43.5298424,5.4474738,04/10,moderate rain,0.99,17.45,21.330000000000002,21.87285714285714
Avignon,22,43.9492493,4.8059012,28/09,broken clouds,0.0,22.5,20.872857142857146,21.548571428571428
Avignon,22,43.9492493,4.8059012,29/09,scattered clouds,0.06,23.13,20.872857142857146,21.548571428571428
Avignon,22,43.9492493,4.8059012,30/09,clear sky,0.0,20.26,20.872857142857146,21.548571428571428
Avignon,22,43.9492493,4.8059012,01/10,few clouds,0.0,22.66,20.872857142857146,21.548571428571428
Avignon,22,43.9492493,4.8059012,02/10,light rain,0.43,22.26,20.872857142857146,21.548571428571428
Avignon,22,43.9492493,4.8059012,03/10,moderate rain,1.0,20.25,20.872857142857146,21.548571428571428
Avignon,22,43.9492493,4.8059012,04/10,light rain,0.99,19.78,20.872857142857146,21.548571428571428
Uzes,23,44.0121279,4.4196718,28/09,broken clouds,0.0,22.6,20.948571428571427,21.11285714285714
Uzes,23,44.0121279,4.4196718,29/09,few clouds,0.26,23.07,20.948571428571427,21.11285714285714
Uzes,23,44.0121279,4.4196718,30/09,clear sky,0.0,20.55,20.948571428571427,21.11285714285714
Uzes,23,44.0121279,4.4196718,01/10,few clouds,0.0,22.13,20.948571428571427,21.11285714285714
Uzes,23,44.0121279,4.4196718,02/10,light rain,0.5,21.97,20.948571428571427,21.11285714285714
Uzes,23,44.0121279,4.4196718,03/10,moderate rain,1.0,18.0,20.948571428571427,21.11285714285714
Uzes,23,44.0121279,4.4196718,04/10,light rain,1.0,19.47,20.948571428571427,21.11285714285714
Nimes,24,43.8374249,4.3600687,28/09,broken clouds,0.0,23.45,21.675714285714285,21.75142857142857
Nimes,24,43.8374249,4.3600687,29/09,few clouds,0.21,23.64,21.675714285714285,21.75142857142857
Nimes,24,43.8374249,4.3600687,30/09,clear sky,0.0,21.55,21.675714285714285,21.75142857142857
Nimes,24,43.8374249,4.3600687,01/10,few clouds,0.0,22.63,21.675714285714285,21.75142857142857
Nimes,24,43.8374249,4.3600687,02/10,light rain,0.46,22.55,21.675714285714285,21.75142857142857
Nimes,24,43.8374249,4.3600687,03/10,moderate rain,1.0,18.74,21.675714285714285,21.75142857142857
Nimes,24,43.8374249,4.3600687,04/10,light rain,0.93,19.7,21.675714285714285,21.75142857142857
Aigues Mortes,25,43.5658225,4.1912837,28/09,broken clouds,0.0,22.84,21.055714285714284,20.84142857142857
Aigues Mortes,25,43.5658225,4.1912837,29/09,light rain,0.28,22.84,21.055714285714284,20.84142857142857
Aigues Mortes,25,43.5658225,4.1912837,30/09,clear sky,0.0,21.76,21.055714285714284,20.84142857142857
Aigues Mortes,25,43.5658225,4.1912837,01/10,few clouds,0.0,20.32,21.055714285714284,20.84142857142857
Aigues Mortes,25,43.5658225,4.1912837,02/10,light rain,0.39,20.52,21.055714285714284,20.84142857142857
Aigues Mortes,25,43.5658225,4.1912837,03/10,light rain,1.0,18.37,21.055714285714284,20.84142857142857
Aigues Mortes,25,43.5658225,4.1912837,04/10,light rain,0.72,19.24,21.055714285714284,20.84142857142857
Saintes Maries de la mer,26,43.4522771,4.4287172,28/09,broken clouds,0.0,22.4,20.708571428571428,20.435714285714287
Saintes Maries de la mer,26,43.4522771,4.4287172,29/09,scattered clouds,0.08,22.47,20.708571428571428,20.435714285714287
Saintes Maries de la mer,26,43.4522771,4.4287172,30/09,clear sky,0.0,20.72,20.708571428571428,20.435714285714287
Saintes Maries de la mer,26,43.4522771,4.4287172,01/10,few clouds,0.0,19.93,20.708571428571428,20.435714285714287
Saintes Maries de la mer,26,43.4522771,4.4287172,02/10,light rain,0.35,20.18,20.708571428571428,20.435714285714287
Saintes Maries de la mer,26,43.4522771,4.4287172,03/10,moderate rain,1.0,18.47,20.708571428571428,20.435714285714287
Saintes Maries de la mer,26,43.4522771,4.4287172,04/10,light rain,0.71,18.88,20.708571428571428,20.435714285714287
Collioure,27,42.52505,3.0831554,28/09,overcast clouds,0.22,23.13,20.849999999999998,21.585714285714285
Collioure,27,42.52505,3.0831554,29/09,overcast clouds,0.21,22.24,20.849999999999998,21.585714285714285
Collioure,27,42.52505,3.0831554,30/09,scattered clouds,0.02,22.72,20.849999999999998,21.585714285714285
Collioure,27,42.52505,3.0831554,01/10,few clouds,0.0,21.39,20.849999999999998,21.585714285714285
Collioure,27,42.52505,3.0831554,02/10,light rain,0.55,22.47,20.849999999999998,21.585714285714285
Collioure,27,42.52505,3.0831554,03/10,light rain,0.41,20.02,20.849999999999998,21.585714285714285
Collioure,27,42.52505,3.0831554,04/10,light rain,0.58,19.13,20.849999999999998,21.585714285714285
Carcassonne,28,43.2130358,2.3491069,28/09,light rain,0.64,24.42,19.548571428571428,20.255714285714284
Carcassonne,28,43.2130358,2.3491069,29/09,light rain,0.68,19.97,19.548571428571428,20.255714285714284
Carcassonne,28,43.2130358,2.3491069,30/09,clear sky,0.21,19.89,19.548571428571428,20.255714285714284
Carcassonne,28,43.2130358,2.3491069,01/10,scattered clouds,0.0,23.48,19.548571428571428,20.255714285714284
Carcassonne,28,43.2130358,2.3491069,02/10,light rain,0.51,19.67,19.548571428571428,20.255714285714284
Carcassonne,28,43.2130358,2.3491069,03/10,moderate rain,0.86,17.85,19.548571428571428,20.255714285714284
Carcassonne,28,43.2130358,2.3491069,04/10,moderate rain,0.9,16.51,19.548571428571428,20.255714285714284
Ariege,29,42.9455368,1.4065544156065486,28/09,light rain,0.49,16.77,12.398571428571431,13.70142857142857
Ariege,29,42.9455368,1.4065544156065486,29/09,light rain,0.51,11.83,12.398571428571431,13.70142857142857
Ariege,29,42.9455368,1.4065544156065486,30/09,light rain,0.42,13.84,12.398571428571431,13.70142857142857
Ariege,29,42.9455368,1.4065544156065486,01/10,scattered clouds,0.0,17.09,12.398571428571431,13.70142857142857
Ariege,29,42.9455368,1.4065544156065486,02/10,light rain,0.76,13.1,12.398571428571431,13.70142857142857
Ariege,29,42.9455368,1.4065544156065486,03/10,moderate rain,0.9,16.02,12.398571428571431,13.70142857142857
Ariege,29,42.9455368,1.4065544156065486,04/10,moderate rain,0.99,7.26,12.398571428571431,13.70142857142857
Toulouse,30,43.6044622,1.4442469,28/09,light rain,0.88,21.04,17.94,18.09142857142857
Toulouse,30,43.6044622,1.4442469,29/09,light rain,0.84,19.64,17.94,18.09142857142857
Toulouse,30,43.6044622,1.4442469,30/09,clear sky,0.13,18.24,17.94,18.09142857142857
Toulouse,30,43.6044622,1.4442469,01/10,broken clouds,0.0,20.25,17.94,18.09142857142857
Toulouse,30,43.6044622,1.4442469,02/10,moderate rain,0.79,14.91,17.94,18.09142857142857
Toulouse,30,43.6044622,1.4442469,03/10,moderate rain,1.0,17.77,17.94,18.09142857142857
Toulouse,30,43.6044622,1.4442469,04/10,light rain,1.0,14.79,17.94,18.09142857142857
Montauban,31,44.0175835,1.3549991,28/09,light rain,0.68,19.74,17.14857142857143,17.3
Montauban,31,44.0175835,1.3549991,29/09,light rain,0.64,19.34,17.14857142857143,17.3
Montauban,31,44.0175835,1.3549991,30/09,clear sky,0.0,17.85,17.14857142857143,17.3
Montauban,31,44.0175835,1.3549991,01/10,overcast clouds,0.0,19.33,17.14857142857143,17.3
Montauban,31,44.0175835,1.3549991,02/10,moderate rain,1.0,14.6,17.14857142857143,17.3
Montauban,31,44.0175835,1.3549991,03/10,heavy intensity rain,1.0,15.17,17.14857142857143,17.3
Montauban,31,44.0175835,1.3549991,04/10,light rain,1.0,15.07,17.14857142857143,17.3
Biarritz,32,43.471143749999996,-1.552726590666314,28/09,light rain,0.48,15.95,16.52,17.68142857142857
Biarritz,32,43.471143749999996,-1.552726590666314,29/09,light rain,0.58,18.55,16.52,17.68142857142857
Biarritz,32,43.471143749999996,-1.552726590666314,30/09,clear sky,0.0,18.16,16.52,17.68142857142857
Biarritz,32,43.471143749999996,-1.552726590666314,01/10,broken clouds,0.0,17.79,16.52,17.68142857142857
Biarritz,32,43.471143749999996,-1.552726590666314,02/10,light rain,0.9,18.91,16.52,17.68142857142857
Biarritz,32,43.471143749999996,-1.552726590666314,03/10,moderate rain,1.0,19.7,16.52,17.68142857142857
Biarritz,32,43.471143749999996,-1.552726590666314,04/10,moderate rain,1.0,14.71,16.52,17.68142857142857
Bayonne,33,43.4933379,-1.475099,28/09,light rain,0.52,15.92,16.897142857142857,18.02285714285714
Bayonne,33,43.4933379,-1.475099,29/09,light rain,0.61,19.14,16.897142857142857,18.02285714285714
Bayonne,33,43.4933379,-1.475099,30/09,clear sky,0.0,18.91,16.897142857142857,18.02285714285714
Bayonne,33,43.4933379,-1.475099,01/10,broken clouds,0.0,18.31,16.897142857142857,18.02285714285714
Bayonne,33,43.4933379,-1.475099,02/10,light rain,0.87,19.39,16.897142857142857,18.02285714285714
Bayonne,33,43.4933379,-1.475099,03/10,moderate rain,1.0,19.7,16.897142857142857,18.02285714285714
Bayonne,33,43.4933379,-1.475099,04/10,moderate rain,1.0,14.79,16.897142857142857,18.02285714285714
La Rochelle,34,46.1591126,-1.1520434,28/09,light rain,0.53,17.01,16.06714285714286,16.83857142857143
La Rochelle,34,46.1591126,-1.1520434,29/09,moderate rain,1.0,16.42,16.06714285714286,16.83857142857143
La Rochelle,34,46.1591126,-1.1520434,30/09,broken clouds,0.0,16.14,16.06714285714286,16.83857142857143
La Rochelle,34,46.1591126,-1.1520434,01/10,light rain,0.78,18.15,16.06714285714286,16.83857142857143
La Rochelle,34,46.1591126,-1.1520434,02/10,light rain,0.98,16.11,16.06714285714286,16.83857142857143
La Rochelle,34,46.1591126,-1.1520434,03/10,heavy intensity rain,1.0,17.23,16.06714285714286,16.83857142857143
La Rochelle,34,46.1591126,-1.1520434,04/10,light rain,0.69,16.81,16.06714285714286,16.83857142857143
